index,predicted,actual,output,time,total_accuracy
0,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[-11.7667,  -6.0370,  -7.3632,  13.6610]], device='cuda:0')",9.018898010253906,0.9761042394544898
1,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]","tensor([[-8.0097, -6.3053, -8.4988, -7.9986]], device='cuda:0')",0.9865760803222656,0.9761042394544898
2,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-8.1079, -3.3266,  6.9662, 12.7737]], device='cuda:0')",0.0,0.9761042394544898
3,"[1.0, 1.0, 0.0, 1.0]","[1, 1, 0, 1]","tensor([[10.4735,  7.7755, -8.1341,  5.4701]], device='cuda:0')",0.0,0.9761042394544898
4,"[1.0, 0.0, 0.0, 1.0]","[1, 0, 0, 1]","tensor([[16.9669, -8.8480, -8.3066, 17.9428]], device='cuda:0')",0.9982585906982422,0.9761042394544898
5,"[1.0, 1.0, 1.0, 0.0]","[1, 1, 1, 0]","tensor([[ 7.1527,  0.1823,  6.6886, -2.4912]], device='cuda:0')",0.0,0.9761042394544898
6,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-7.3561, -0.0609,  6.0815,  3.3184]], device='cuda:0')",0.99945068359375,0.9761042394544898
7,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-15.9053,  14.0890,   9.3382,  13.3915]], device='cuda:0')",0.0,0.9761042394544898
8,"[0.0, 1.0, 1.0, 0.0]","[0, 1, 1, 0]","tensor([[-15.8405,  12.3225,  19.1197,  -7.0298]], device='cuda:0')",1.0008811950683594,0.9761042394544898
9,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-7.9581,  4.4927, -7.1198, -7.1962]], device='cuda:0')",0.0,0.9761042394544898
10,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-8.6167,  6.4035, -2.7846, -7.8605]], device='cuda:0')",0.99945068359375,0.9761042394544898
11,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-13.9681,  21.4017, -14.5926,  -9.8654]], device='cuda:0')",0.0,0.9761042394544898
12,"[1.0, 0.0, 1.0, 0.0]","[1, 0, 1, 0]","tensor([[10.8327, -9.6386, 16.6001, -9.5356]], device='cuda:0')",1.0001659393310547,0.9761042394544898
