index,predicted,actual,output,time,total_accuracy
0,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[-10.6094,  -9.6442,  -9.2610,  17.7253]], device='cuda:0')",39.80565071105957,0.9804074451395963
1,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]","tensor([[-8.6178, -9.6449, -7.6818, -4.8067]], device='cuda:0')",0.9951591491699219,0.9804074451395963
2,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-7.6100, -7.6270,  3.6589, 14.4423]], device='cuda:0')",1.0004043579101562,0.9804074451395963
3,"[1.0, 1.0, 0.0, 1.0]","[1, 1, 0, 1]","tensor([[11.0251,  8.9911, -5.7807,  3.1548]], device='cuda:0')",0.0,0.9804074451395963
4,"[1.0, 0.0, 0.0, 1.0]","[1, 0, 0, 1]","tensor([[ 21.8753, -23.8215,  -7.4448,  85.6518]], device='cuda:0')",0.0,0.9804074451395963
5,"[1.0, 1.0, 1.0, 0.0]","[1, 1, 1, 0]","tensor([[ 6.4006,  3.3060,  8.2930, -1.6492]], device='cuda:0')",1.0018348693847656,0.9804074451395963
6,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-8.8974, -6.1432,  9.8689,  1.4628]], device='cuda:0')",0.9996891021728516,0.9804074451395963
7,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-8.2855,  8.8366, 17.7354, 19.6790]], device='cuda:0')",0.9982585906982422,0.9804074451395963
8,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 0]","tensor([[-5.8599, 13.5905, 31.5751,  4.2530]], device='cuda:0')",0.99945068359375,0.9804074451395963
9,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-7.2648,  6.8253, -9.1930, -3.7768]], device='cuda:0')",0.9992122650146484,0.9804074451395963
10,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-9.1709,  7.6002, -8.5308, -2.9100]], device='cuda:0')",1.0018348693847656,0.9804074451395963
11,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-8.5774, 15.8120, -6.9643, -8.6217]], device='cuda:0')",0.9992122650146484,0.9804074451395963
12,"[1.0, 0.0, 1.0, 0.0]","[1, 0, 1, 0]","tensor([[10.3767, -8.1698, 25.8982, -8.4202]], device='cuda:0')",0.0,0.9804074451395963
13,"[1.0, 0.0, 0.0, 1.0]","[1, 0, 0, 1]","tensor([[ 18.7152, -27.1018,  -7.9536,  83.4723]], device='cuda:0')",3.002166748046875,0.9804074451395963
14,"[1.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0]","tensor([[ 2.0983, -7.9061, -9.0235, -1.3374]], device='cuda:0')",0.9965896606445312,0.9804074451395963
15,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-3.9075,  4.3637, 29.9736,  8.4328]], device='cuda:0')",1.0025501251220703,0.9804074451395963
16,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-9.7710,  6.2848,  8.6578, 17.9298]], device='cuda:0')",0.9970664978027344,0.9804074451395963
