index,predicted,actual,output,time,total_accuracy
0,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[-0.8494, -1.2687, -3.9091,  0.8898]], device='cuda:0')",69.000244140625,0.8623036681937787
1,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]","tensor([[-7.0930, -2.1218, -5.8434, -2.4795]], device='cuda:0')",2.0151138305664062,0.8623036681937787
2,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 1, 1]","tensor([[-0.1024, -0.6273, -1.6252,  0.8373]], device='cuda:0')",1.0008811950683594,0.8623036681937787
3,"[1.0, 0.0, 0.0, 1.0]","[1, 1, 0, 1]","tensor([[ 2.1311, -0.0045, -0.7180,  0.9829]], device='cuda:0')",1.0001659393310547,0.8623036681937787
4,"[1.0, 0.0, 0.0, 1.0]","[1, 0, 0, 1]","tensor([[11.1512, -8.3619, -8.0776,  9.6944]], device='cuda:0')",0.0,0.8623036681937787
5,"[1.0, 1.0, 1.0, 0.0]","[1, 1, 1, 0]","tensor([[3.1640, 2.3936, 3.8066, 0.2263]], device='cuda:0')",0.0,0.8623036681937787
6,"[0.0, 1.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-2.3510,  1.0918,  2.5490,  0.9708]], device='cuda:0')",0.9944438934326172,0.8623036681937787
7,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-2.2102, 10.4112, 24.4517,  1.7945]], device='cuda:0')",0.9999275207519531,0.8623036681937787
8,"[0.0, 1.0, 1.0, 0.0]","[0, 1, 1, 0]","tensor([[-8.9355,  4.2113, 18.1967, -7.9392]], device='cuda:0')",1.003265380859375,0.8623036681937787
9,"[0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-8.5574, -0.0325,  0.2431, -3.8419]], device='cuda:0')",0.9946823120117188,0.8623036681937787
10,"[0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-4.7868, -0.2745, -0.2040,  0.1421]], device='cuda:0')",2.001523971557617,0.8623036681937787
11,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-5.1831,  1.6782, -1.4945, -5.6380]], device='cuda:0')",1.0001659393310547,0.8623036681937787
