index,predicted,actual,output,time,total_accuracy
0,"[1.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[ 0.2194, -5.2232, -5.5294,  1.4763]], device='cuda:0')",9.000301361083984,0.9081092145477728
1,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]","tensor([[-3.9951, -6.2450, -5.0270, -1.0444]], device='cuda:0')",0.0,0.9081092145477728
2,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-2.2025, -0.3467,  9.3795,  1.0005]], device='cuda:0')",0.0,0.9081092145477728
3,"[1.0, 1.0, 0.0, 1.0]","[1, 1, 0, 1]","tensor([[ 5.9593,  8.2102, -5.4412,  0.3060]], device='cuda:0')",0.0,0.9081092145477728
4,"[1.0, 0.0, 0.0, 1.0]","[1, 0, 0, 1]","tensor([[  5.1670, -12.5025,  -8.6286,   0.0516]], device='cuda:0')",0.0,0.9081092145477728
5,"[1.0, 1.0, 1.0, 0.0]","[1, 1, 1, 0]","tensor([[ 3.4370, 12.5063,  5.7431, -0.9524]], device='cuda:0')",0.0,0.9081092145477728
6,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-4.5716, -2.5618, 11.4357,  0.5776]], device='cuda:0')",0.0,0.9081092145477728
7,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-0.0216, 10.6665, 20.7480,  0.2455]], device='cuda:0')",0.9930133819580078,0.9081092145477728
8,"[0.0, 1.0, 1.0, 0.0]","[0, 1, 1, 0]","tensor([[-8.5801, 13.4964, 11.3412, -0.2325]], device='cuda:0')",0.0,0.9081092145477728
9,"[0.0, 1.0, 0.0, 1.0]","[0, 1, 0, 0]","tensor([[-9.0330,  5.9421, -8.1473,  0.0383]], device='cuda:0')",0.9891986846923828,0.9081092145477728
10,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-9.2623,  9.2513, -7.8201, -0.8805]], device='cuda:0')",0.0,0.9081092145477728
11,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-5.7277, 17.4207, -6.1086, -0.8051]], device='cuda:0')",0.0,0.9081092145477728
12,"[1.0, 0.0, 1.0, 1.0]","[1, 0, 1, 0]","tensor([[ 9.4816e+00, -8.0102e+00,  1.8994e+01,  3.5095e-03]], device='cuda:0')",0.0,0.9081092145477728
13,"[1.0, 0.0, 0.0, 1.0]","[1, 0, 0, 1]","tensor([[  5.4060, -12.7255,  -8.4598,   0.1288]], device='cuda:0')",0.0,0.9081092145477728
14,"[1.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0]","tensor([[ 5.8209, -9.0859, -5.7088, -0.2793]], device='cuda:0')",0.9996891021728516,0.9081092145477728
15,"[0.0, 1.0, 1.0, 0.0]","[0, 1, 1, 1]","tensor([[-4.7071, 16.0861, 17.1176, -0.4099]], device='cuda:0')",0.0,0.9081092145477728
16,"[0.0, 0.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-2.5327, -0.0999,  6.8755,  1.3531]], device='cuda:0')",0.0,0.9081092145477728
17,"[0.0, 1.0, 0.0, 1.0]","[0, 1, 0, 1]","tensor([[-10.8471,  17.4169,  -4.3412,   1.3422]], device='cuda:0')",0.0,0.9081092145477728
18,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]","tensor([[-3.8240, -5.4335, -4.4562, -1.7601]], device='cuda:0')",0.0,0.9081092145477728
19,"[1.0, 1.0, 0.0, 1.0]","[1, 1, 0, 0]","tensor([[ 5.0074,  9.1379, -5.2014,  0.7642]], device='cuda:0')",0.0,0.9081092145477728
20,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[-4.5985, -3.1957, -1.2951,  1.9111]], device='cuda:0')",0.0,0.9081092145477728
21,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 1]","tensor([[-4.3890, -5.5350, -4.6661, -1.3101]], device='cuda:0')",0.0,0.9081092145477728
22,"[1.0, 1.0, 1.0, 0.0]","[1, 1, 1, 0]","tensor([[ 8.7356,  9.3889, 21.4312, -0.2095]], device='cuda:0')",0.0,0.9081092145477728
23,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-4.5239, 12.8040, 14.8691,  0.0483]], device='cuda:0')",1.001596450805664,0.9081092145477728
24,"[1.0, 0.0, 0.0, 0.0]","[1, 0, 0, 0]","tensor([[  5.5820, -10.9347,  -6.1076,  -0.1249]], device='cuda:0')",0.0,0.9081092145477728
25,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 0]","tensor([[-5.9922, 11.6255, 15.7336,  0.7657]], device='cuda:0')",0.0,0.9081092145477728
26,"[0.0, 1.0, 1.0, 1.0]","[0, 1, 1, 1]","tensor([[-9.7724, 10.3046, 14.7756,  0.2418]], device='cuda:0')",0.0,0.9081092145477728
27,"[0.0, 1.0, 1.0, 0.0]","[0, 1, 1, 0]","tensor([[-10.3571,  11.5626,  13.6539,  -0.1955]], device='cuda:0')",0.0,0.9081092145477728
28,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[-5.5480, -8.2920, -5.2059,  4.4040]], device='cuda:0')",0.0,0.9081092145477728
29,"[1.0, 1.0, 0.0, 1.0]","[1, 1, 0, 1]","tensor([[ 6.2490,  6.9152, -4.2554,  0.5827]], device='cuda:0')",0.0,0.9081092145477728
30,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[-1.1618, -5.0064, -5.2339,  1.5099]], device='cuda:0')",0.9808540344238281,0.9081092145477728
31,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[-6.1492, -7.3018, -4.4901,  4.2226]], device='cuda:0')",0.0,0.9081092145477728
32,"[0.0, 1.0, 1.0, 0.0]","[0, 1, 1, 1]","tensor([[-6.3612, 16.6771, 13.9078, -1.3344]], device='cuda:0')",0.0,0.9081092145477728
33,"[1.0, 0.0, 0.0, 1.0]","[1, 0, 0, 1]","tensor([[ 2.9581, -7.3115, -5.2357,  1.0791]], device='cuda:0')",0.0,0.9081092145477728
34,"[0.0, 1.0, 0.0, 1.0]","[0, 1, 0, 1]","tensor([[-1.1560,  7.2464, -6.0162,  1.7096]], device='cuda:0')",0.0,0.9081092145477728
35,"[1.0, 0.0, 1.0, 1.0]","[1, 0, 1, 1]","tensor([[ 9.2940, -3.5361, 21.2040,  0.4497]], device='cuda:0')",0.0,0.9081092145477728
36,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-6.1550, -5.6830, 12.9959,  1.8871]], device='cuda:0')",0.0,0.9081092145477728
37,"[1.0, 1.0, 1.0, 0.0]","[1, 1, 1, 1]","tensor([[ 8.3380,  5.7682, 18.9255, -0.1701]], device='cuda:0')",0.0,0.9081092145477728
38,"[0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 1]","tensor([[-0.4974,  0.5250,  1.4280,  0.5492]], device='cuda:0')",0.0,0.9081092145477728
39,"[1.0, 1.0, 0.0, 0.0]","[1, 1, 0, 1]","tensor([[ 6.5549,  8.8100, -4.9495, -0.4463]], device='cuda:0')",0.9999275207519531,0.9081092145477728
40,"[0.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0]","tensor([[-8.5791, 17.9854, -4.4668, -1.6205]], device='cuda:0')",0.0,0.9081092145477728
41,"[1.0, 0.0, 1.0, 1.0]","[1, 0, 1, 1]","tensor([[ 9.0872, -7.8568, 19.5344,  0.0920]], device='cuda:0')",1.0008811950683594,0.9081092145477728
42,"[0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1]","tensor([[-5.5289, -6.7634, -4.2015,  2.7122]], device='cuda:0')",0.0,0.9081092145477728
43,"[1.0, 1.0, 0.0, 1.0]","[1, 1, 0, 0]","tensor([[ 9.5550,  7.8443, -5.5953,  0.2060]], device='cuda:0')",0.0,0.9081092145477728
44,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1, 1]","tensor([[-4.9604, -2.3877,  9.2668,  0.6559]], device='cuda:0')",0.0,0.9081092145477728
